,valence,year,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artists,collaborators
16641,0.10800000000000001,2005,0.00103,0.682,280013,0.483,1,0Ss50OU9tCozI7JIywkv14,0.0,10,0.159,-7.718,1,Soul Survivor,67,2005,0.0451,84.012,"['Jeezy', 'Akon']",2
16645,0.569,2005,0.0051600000000000005,0.877,272080,0.637,0,1gZ7i4qxXkHZb1r6eioaAP,2.5e-06,1,0.0959,-3.4930000000000003,0,Don't Cha,67,2005-01-01,0.10099999999999999,119.988,"['The Pussycat Dolls', 'Busta Rhymes']",2
18532,0.961,2014,0.0426,0.723,243413,0.777,0,32lm3769IRfcnrQV11LO4E,3.68e-06,7,0.0451,-3.503,1,Bailando - Spanish Version,67,2014-01-01,0.10800000000000001,91.01700000000001,"['Enrique Iglesias', 'Descemer Bueno', 'Gente De Zona']",3
18526,0.509,2014,0.006520000000000001,0.613,230773,0.6609999999999999,0,6RKGBcDtgzXx21zUjpeu6F,0.0,9,0.0976,-4.984,1,Cold Cold Man,67,2014-08-16,0.0263,110.978,['Saint Motel'],1
140712,0.395,2020,0.47700000000000004,0.602,223630,0.5,1,5PvVkf1Yuq3XyMqqjPiKPd,5.6899999999999994e-05,8,0.295,-9.377,1,Been Away,67,2020-02-07,0.298,132.798,['Brent Faiyaz'],1
37908,0.501,2017,0.11199999999999999,0.514,263120,0.836,0,23TxRN09aR1RB0G0tFoT0b,0.0,5,0.0878,-3.6630000000000003,1,Better Man,67,2017-02-24,0.0381,143.888,['Little Big Town'],1
18511,0.632,2014,0.72,0.765,211573,0.41200000000000003,1,2BqQQXuBOuhaWeUP7okEx0,0.0,7,0.126,-8.932,0,Comfortable,67,2014-09-04,0.0726,109.986,['K CAMP'],1
16681,0.5539999999999999,2005,0.0114,0.552,236600,0.846,1,2dxjKgT0li4qBI3QwuN9Ih,0.0,9,0.309,-4.912,1,Touch The Sky,67,2005-08-30,0.342,98.56,"['Kanye West', 'Lupe Fiasco']",2
16712,0.41600000000000004,2005,0.00043,0.58,188933,0.983,1,77VW8u6inET54YAKN1RSnd,0.006940000000000001,5,0.0801,-3.2910000000000004,0,Twisted Transistor,67,2005-12-06,0.0636,110.053,['Korn'],1
18510,0.561,2014,0.0202,0.46799999999999997,200360,0.6920000000000001,0,3omXshBamrREltcf24gYDC,2.39e-06,2,0.523,-4.015,1,First,67,2014-10-31,0.0295,78.009,['Cold War Kids'],1
16688,0.81,2005,0.0311,0.904,226864,0.813,1,0UaMYEvWZi0ZqiDOoHU3YI,0.0069700000000000005,4,0.0471,-7.105,0,Lose Control (feat. Ciara & Fat Man Scoop),67,2005-07-04,0.121,125.461,"['Missy Elliott', 'Ciara', 'Fatman Scoop']",3
16709,0.619,2005,0.237,0.72,243773,0.7440000000000001,0,2Lhdl74nwwVGOE2Gv35QuK,0.0,1,0.255,-6.938,0,Cupid's Chokehold / Breakfast in America,67,2005-02-22,0.12,78.953,['Gym Class Heroes'],1
16694,0.515,2005,0.248,0.5379999999999999,160613,0.607,0,0HBrtXJohbIW4IhPZ50GmH,5.54e-06,9,0.0999,-5.261,0,The Bidding,67,2005-10-24,0.21600000000000005,175.424,['Tally Hall'],1
16635,0.489,2005,0.924,0.517,189187,0.20600000000000002,0,3kZC0ZmFWrEHdUCmUqlvgZ,0.0,5,0.11800000000000001,-12.232999999999999,1,I Will Follow You into the Dark,67,2005-08-29,0.0421,80.40100000000002,['Death Cab for Cutie'],1
140688,0.809,2020,0.0438,0.86,156519,0.644,1,6AyXdUH0gnVrJFQb7L7rkI,0.0,11,0.109,-4.5969999999999995,0,Make It Right Back,67,2020-11-06,0.141,140.967,['NAV'],1
18548,0.542,2014,0.252,0.897,207627,0.8640000000000001,0,2ctjDCCg1wHoQSjIJ8p6U4,0.0,11,0.517,-3.735,0,Candy,67,2014-08-25,0.147,95.98100000000001,['Plan B'],1
140686,0.418,2020,0.0802,0.622,174968,0.679,1,3TciLI5wo7RddPtAFhiU9V,0.0,10,0.11199999999999999,-6.183,0,Don't Believe The Hype,67,2020-05-15,0.29,160.059,['Polo G'],1
16458,0.872,2004,0.0277,0.826,223000,0.647,0,3dFwpxh2yH7C7p9BGEKLVB,1.52e-06,5,0.298,-6.306,0,Goodies (feat. Petey Pablo),67,2004-09-27,0.0491,102.01700000000001,"['Ciara', 'Petey Pablo']",2
16468,0.192,2004,0.0286,0.20199999999999999,194253,0.8859999999999999,0,1yKAqZoi8xWGLCf5vajroL,0.0,11,0.643,-3.805,0,The Ghost of You,67,2004-06-08,0.0816,145.781,['My Chemical Romance'],1
140662,0.677,2020,0.134,0.57,178279,0.645,0,36ISlLb12gKuCCVTYXC0gb,0.0,5,0.147,-5.816,1,Beers And Sunshine,67,2020-08-06,0.0304,81.084,['Darius Rucker'],1
